posted_by,under_construction,rera_approved,num_of_rooms,bhk_or_rk,ready_to_move,resale,longitude,latitude,price,avg_price_per_unit_area,avg_price_per_room,area_per_room,neighborhood
Owner,No,No,2.0,BHK,Yes,Yes,12.96991,77.59796,55.0,0.04229999998761763,27.5,650.1182035,1
Dealer,No,No,2.0,BHK,Yes,Yes,12.274538,76.644605,51.0,0.04,25.5,637.5,1
Owner,No,No,2.0,BHK,Yes,Yes,12.778033,77.632191,43.0,0.04608000000109735,21.5,466.5798611,1
Owner,No,Yes,2.0,BHK,Yes,Yes,28.6423,77.3445,62.5,0.06720999999906767,31.25,464.96057135,0
Dealer,Yes,No,2.0,BHK,No,Yes,22.5922,84.09013437499999,60.5,0.06056000000168167,30.25,499.5046235,3
Owner,No,No,3.0,BHK,Yes,Yes,10.03328,76.28257099999999,42.0,0.0336,14.0,416.6666666666667,1
Dealer,No,No,3.0,BHK,Yes,Yes,26.916347,75.7956,66.5,0.044479999995077096,22.166666666666668,498.35131900000005,0
Owner,No,Yes,3.0,BHK,Yes,Yes,30.74,76.65,52.0,0.04402999998951747,17.333333333333332,393.67098200000004,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,13.054202,77.674002,41.6,0.04,20.8,520.0,1
Owner,No,Yes,2.0,BHK,Yes,Yes,12.95161,80.14097,36.0,0.040950000000972556,18.0,439.56043955000007,1
Owner,No,No,3.0,BHK,Yes,Yes,26.724219,84.09013437499999,35.0,0.025919999999526034,11.666666666666666,450.10288066666664,3
Dealer,No,No,2.0,BHK,Yes,Yes,13.04034,77.591347,110.0,0.08252000002169525,55.0,666.5050895,1
Owner,No,No,2.0,BHK,Yes,Yes,12.96991,77.59796,48.0,0.05176999999776634,24.0,463.58895115,1
Owner,No,Yes,2.0,BHK,Yes,Yes,28.587711,77.403123,62.0,0.055249999985296366,31.0,561.0859730000001,0
Owner,No,No,1.0,BHK,Yes,Yes,13.0352,77.5772,20.0,0.030770000000295394,20.0,649.9837504,1
Dealer,Yes,Yes,3.0,BHK,No,Yes,28.429614,77.481711,71.1,0.05100000000215189,23.7,464.70588233333336,0
Owner,No,No,3.0,BHK,Yes,Yes,20.275267000000003,84.09013437499999,85.0,0.04721999999655572,28.333333333333332,600.0282366666667,3
Dealer,Yes,Yes,3.0,BHK,No,Yes,12.8855,77.5638,180.0,0.08471000001634903,60.0,708.298902,1
Owner,No,No,2.0,BHK,Yes,Yes,21.15389,79.08306,22.0,0.02,11.0,550.0,4
Dealer,No,Yes,3.0,BHK,Yes,Yes,13.092356,77.61346800000001,120.0,0.05508000001195236,40.0,726.2164123333333,1
Owner,No,No,2.0,BHK,Yes,Yes,13.05,80.11,45.0,0.05106999999943823,22.5,440.57176425,1
Dealer,No,No,2.0,BHK,Yes,Yes,18.452663,73.93104,42.0,0.04444999999829609,21.0,472.4409449,2
Dealer,No,Yes,3.0,BHK,Yes,Yes,28.5041,77.381557,55.0,0.041980000012044445,18.333333333333332,436.7158963333333,0
Dealer,No,No,1.0,BHK,Yes,Yes,19.05444,72.84056,193.0,0.30634890000030635,193.0,630.00063,2
Dealer,No,No,2.0,BHK,Yes,Yes,21.105779,79.078497,50.0,0.04098999998942458,25.0,609.904855,4
Owner,No,No,2.0,BHK,Yes,Yes,22.54111,84.09013437499999,27.5,0.03524999999871818,13.75,390.070922,3
Owner,No,No,3.0,BHK,Yes,Yes,28.63601,77.433724,46.0,0.02875,15.333333333333334,533.3333333333334,0
Dealer,No,No,2.0,BHK,Yes,Yes,30.712867,76.648557,22.9,0.01940000000220262,11.45,590.2061855,0
